Id,Timestamp,Version,Provider,Collection
5c707152081a2a6caf043300,1550872882,1,corva,torque-and-drag.hookload-trend
Activity,hole_depth,is_extended
Washing Down,19879.1,true

Id,hole_size,type,id
5c6f294b87a6c94f18943260,8.5,DrillString,5


start_timestamp
1550825331

end_timestamp,start_timestamp
1550825330,1550823996
start_timestamp,end_timestamp
1550823996,1550872882


Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.1,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
1550852115,12492.35,224.25,0.01,0,0,66
1550852026,12524.6,219.8,0.01,0,0,42
1550850811,12530.8,210.4,0.01,0,0,33
1550851111,12531.5,206.05,0.01,0,0,24
1550851203,12531.8,206.2,0.01,0,0,36
1550851461,12531.8,208.5,0.98,0,0,30
1550850736,12532,210.6,0.01,0,0,36
1550851158,12532.1,200.9,0.01,0,0,36
1550851401,12532.45,203.75,1,0,0,30
1550850698,12534.9,180.3,0.01,0,0,30
1550871212,18411.7,246.75,0.01,0,0,48
1550871173,18417.15,198.95,0.01,0,0,42
1550871478,18466.5,258,0,0,0,66
1550871534,18470,235.8,0,0,0,54
1550871629,18471.85,274.7,0,0,0,78

Wash Up Timestamp,Wash Up Measured Depth,Wash Up Hookload,Wash Up Torque,rotary_rpm,mud_flow_in,string_velocity
1550853550,12530.4,216.8,0.56,0,350,18
1550853334,12530.9,216.15,1.43,0,350,24
1550872526,18460.3,238.1,0.14,0,350,30
1550872387,18465.3,266.35,0.18,0,174.6,12
1550872245,18470.55,267.55,0.08,0,174.6,36
1550872295,18472.4,258.4,0.14,0,174.6,36

Slack Off Timestamp,Slack Off Measured Depth,Slack Off Hookload,Slack Off Torque,rotary_rpm,mud_flow_in,string_velocity
1550824678,344.1,57.6,0.01,0,0,177
1550824813,440.45,58.8,0.01,0,0,234
1550824918,534.5,59.9,0.01,0,0,237
1550825068,627.3,61,0.01,0,0,237
1550825293,811.8,63.35,0.01,0,0,234
1550825417,911.15,64.6,0.01,0,0,240
1550825524,1004.85,65.6,0.01,0,0,240
1550825780,1190.5,68,0.01,0,0,240
1550825894,1286.2,69,0.01,0,0,240
1550826001,1381.4,70.3,0.01,0,0,237
1550826224,1569.5,72.3,0.01,0,0,240
1550826340,1663,73.7,0.01,0,0,234
1550826464,1757.95,74.85,0.01,0,0,240
1550826584,1850.65,76,0.01,0,0,240
1550826690,1947.2,77.3,0.01,0,0,240
1550826854,2039.4,77.9,0.01,0,0,240
1550826964,2134.8,79.4,0.01,0,0,240
1550827087,2229.45,80.25,0.01,0,0,240
1550827194,2323.8,81.6,0.01,0,0,237
1550827335,2416.4,82.1,0.01,0,0,240
1550827446,2511.1,83.25,0.01,0,0,240
1550827586,2605.45,83.95,0.01,0,0,240
1550827699,2696.4,85.5,0.01,0,0,237
1550827810,2793.4,86.5,0.01,0,0,237
1550827922,2885.4,87.6,0.01,0,0,240
1550829764,2985.6,105.9,0.01,0,0,228
1550829925,3076.9,106.8,0.01,0,0,234
1550830035,3169.9,108.2,0.01,0,0,234
1550830145,3265.1,109,0.01,0,0,234
1550830269,3356.1,110.4,0.01,0,0,228
1550830437,3450.8,111.1,0.01,0,0,231
1550830548,3547.4,112.1,0.01,0,0,228
1550830659,3637.4,112.8,0.01,0,0,228
1550830769,3734.3,113.8,0.01,0,0,228
1550830885,3826.75,115.05,0.01,0,0,228
1550831013,3919.95,115.95,0.01,0,0,228
1550831127,4016.1,117,0.01,0,0,228
1550831239,4110.5,118,0.01,0,0,228
1550831353,4205.4,118.95,0.01,0,0,228
1550831470,4299.95,119.95,0.01,0,0,222
1550831631,4390.35,122,0.01,0,0,138
1550831805,4488.8,122.5,0.01,0,0,138
1550831949,4577.4,124,0.01,0,0,126
1550832076,4677.4,123.6,0.01,0,0,222
1550832197,4767.9,125.35,0.01,0,0,222
1550832409,4864.55,125.75,0.01,0,0,222
