Id,Timestamp,Version,Provider,Collection
5c6fee8287a6c928b9d94983,1550839401,1,corva,torque-and-drag.hookload-trend
Activity,hole_depth
In Slips,26052

Id,hole_size,type,outer_diameter
5c6cad79b337d74f5029f673,8.5,CasingString,5.5


start_timestamp
1550626339
start_timestamp,end_timestamp
1550626339,1550839401


Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
1550706924,20574.75,103.1,0,0.1,0,108
1550707034,20618,96,0,0.1,0,144
1550707151,20669.8,107,0,0.1,0,66
1550707302,20712.85,102.95,0,0.1,0,66
1550707442,20754.8,101.4,0,0.1,0,78
1550707582,20796,102.5,0,0.1,0,72
1550707699,20842.9,98.3,0,0.1,0,96
1550707843,20883.8,103.8,0,0.1,0,72
1550707983,20932.05,99.7,0,0.1,0,96
1550708114,20977.2,97.8,0,0.1,0,96
1550708234,21021.25,97.5,0,0.1,0,84
1550708355,21065.1,98,0,0.1,0,78
1550708553,21109.4,98.4,0,0.1,0,84
1550708941,21250.65,96.2,0,0.1,0,90
1550709638,21369.8,103.1,0,0.1,0,90
1550709781,21414.35,96,0,0.1,0,90
1550709901,21460.8,97.5,0,0.1,0,93
1550710025,21505.4,96.7,0,0.1,0,90
1550710155,21551,95.5,0,0.1,0,96
1550710270,21594.9,93.2,0,0.1,0,96
1550710396,21639.6,95.25,0,0.1,0,96
1550710517,21683.8,95.4,0,0.1,0,96
1550710638,21727.35,96.85,0,0.1,0,84
1550711306,21770.2,95.75,0,0.1,0,90
1550711427,21817.5,98.4,0,0.1,0,90
1550711555,21861.5,93.55,0,0.1,0,96
1550711676,21905.7,92.4,0,0.1,0,96
1550711796,21948.9,96.1,0,0.1,0,90
1550711980,21992.6,89.9,0,0.1,0,96
1550712095,22038.5,89,0,0.1,0,90
1550712218,22082.3,89.5,0,0.1,0,96
1550712343,22125.9,93.6,0,0.1,0,96
1550712515,22170.8,86.6,0,0.1,0,96
1550712634,22215.6,90.1,0,0.1,0,96
1550712766,22263.1,88.55,0,0.1,0,96
1550712893,22304.8,91,0,0.1,0,96
1550713003,22348.8,92.4,0,0.1,0,96
1550713124,22394,89.1,0,0.1,0,96
1550713243,22437.2,90,0,0.1,0,96
1550713360,22480.55,84.65,0,0.1,0,96
1550713489,22526.5,87,0,0.1,0,96
1550713607,22570.4,87.45,0,0.1,0,96
1550713728,22617.3,85,0,0.1,0,78
1550713853,22656.25,86.45,0,0.1,0,90
1550713972,22703.7,85.2,0,0.1,0,96
1550714090,22748.5,86,0,0.1,0,96
1550714224,22793.55,83.55,0,0.1,0,84
1550714343,22837.1,84.5,0,0.1,0,90
1550714516,22881,85.5,0,0.1,0,84
1550714639,22925.8,82.5,0,0.1,0,96
1550714766,22969.4,81.55,0,0.1,0,96
1550714893,23014.15,84.15,0,0.1,0,84
1550715004,23057.6,79.7,0,0.1,0,96
1550715710,23103.1,87.4,0,0.1,0,90
1550715845,23148.15,89.3,0,0.1,0,84
1550715969,23191.2,86.6,0,0.1,0,96
1550716106,23235.8,86.95,0,0.1,0,96
1550716230,23279,87.4,0,0.1,0,84
1550716782,23456.75,81.3,0,0.1,0,96
1550716912,23501.35,82.25,0,0.1,0,96
1550717078,23544.7,83.3,0,0.1,0,96
1550717204,23590.1,82,0,0.1,0,96
1550717327,23635,81.85,0,0.1,0,96
1550717525,23678.65,77.7,0,0.1,0,96
1550717653,23721.2,81.95,0,0.1,0,96
1550717782,23766.2,80.9,0,0.1,0,96
1550717912,23810.7,80.9,0,0.1,0,96
1550718035,23854.9,79.8,0,0.1,0,96
1550718158,23898.1,84,0,0.1,0,96
1550718289,23945.9,83.2,0,0.1,0,90
1550718413,23988.55,77.2,0,0.1,0,84
1550718551,24032.9,81.8,0,0.1,0,96
1550718676,24073.3,79,0,0.1,0,96
1550718808,24119.7,76.55,0,0.1,0,90
1550718930,24162.8,70.6,0,0.1,0,96
1550719056,24207.6,74.2,0,0.1,0,96
1550719172,24251.65,77.65,0,0.1,0,96
1550719293,24297.5,77,0,0.1,0,90
1550719423,24340.9,74.1,0,0.1,0,96
1550719545,24385.2,76,0,0.1,0,96
1550719662,24427.65,78.95,0,0.1,0,96
1550719776,24469.9,74.05,0,0.1,0,96
1550719907,24511.5,80.1,0,0.1,0,90
1550720064,24552.7,79.5,0,0.1,0,90
1550720214,24598.45,71.7,0,0.1,0,90
1550720338,24643.7,73.85,0,0.1,0,96
1550720456,24687.5,77.7,0,0.1,0,90
1550720573,24733.5,76.05,0,0.1,0,84
1550720686,24771.4,68.1,0,0.1,0,87
1550720805,24813.8,75.05,0,0.1,0,90
1550720931,24859.1,75.9,0,0.1,0,84
1550721055,24903.3,75,0,0.1,0,90
1550721205,24948.3,71.8,0,0.1,0,90
1550721312,24982.6,68.2,0,0.1,0,87
1550721341,25002.9,74.7,0,0.1,0,72
1550721468,25033.8,73.1,0,0.1,0,78
1550722183,25077.75,74.2,0,0.1,0,90
1550722306,25123.4,72.85,0,0.1,0,72
1550722429,25165.2,73.85,0,0.1,0,72
1550722545,25209.65,67.35,0,0.1,0,90
1550722665,25254.8,68.8,0,0.1,0,90
1550722780,25292.2,75.5,0,0.1,0,90
1550722803,25314.3,78,0,0.1,0,51
1550722911,25342.25,74.05,0,0.1,0,78
1550723034,25386,72.2,0,0.1,0,84
1550723172,25430.2,69.45,0,0.1,0,84
1550723292,25474.6,69,0,0.1,0,90
1550723410,25523.5,72,0,0.1,0,78
1550723530,25552.9,74.7,0,0.1,0,72
1550723557,25573.4,76.6,0,0.1,0,54
1550723673,25603.35,70.4,0,0.1,0,78
1550723820,25650.45,74.75,0,0.1,0,72
1550723947,25692.3,79.9,0,0.1,0,72
1550724068,25740.75,72.15,0,0.1,0,72
1550724193,25782.1,74.5,0,0.1,0,72
1550724312,25820.9,76.05,0,0.1,0,78
1550724365,25837.55,93.3,0,0.1,0,54
1550724495,25867.8,76.5,0,0.1,0,66
1550724619,25909.9,75.75,0,0.1,0,72
1550724789,25951.2,77.2,0,0.1,0,66
1550724922,25995.5,70.2,0,0.1,0,72
1550725314,26032.7,82.7,0,0.1,0,48

Wash Down Timestamp,Wash Down Measured Depth,Wash Down Hookload,Wash Down Torque,rotary_rpm,mud_flow_in,string_velocity
1550708669,21153.85,100.6,0,0.1,50.3,78
1550708809,21189.8,101.55,0,0.1,347.5,78
1550708922,21225.2,107.6,0,0.1,71.2,54
1550709049,21286.2,98.2,0,0.1,276.4,96
1550709183,21327.2,99.65,0,0.1,276.4,90
1550716349,23324.1,85.9,0,0.1,40.3,96
1550716463,23367.3,86,0,0.1,229.6,96
1550716592,23412.6,83.8,0,0.1,229.6,96

Asset Id,company_id
5675,29
